tablet_id,site,date_est,material,transliteration,sign_groups,sign_sequence_unicode,sign_sequence_ids,sign_group_count,sign_count
HT 28,Hagia Triada,-1500,clay,QA-I-RO VIN 20 A-DU VIN 10 KU-RO VIN 30,QA-I-RO|VIN|A-DU|VIN|KU-RO|VIN,𐘌𐘚𐘁 𐙗 𐘀𐘬 𐙗 𐙂𐘁 𐙗,"12,26,1,87,0,44,87,66,1,87",6,10
HT 31,Hagia Triada,-1500,clay,I-DA-TE OLE 25 A-RE OLE 5 KU-RO OLE 30,I-DA-TE|OLE|A-RE|OLE|KU-RO|OLE,𐘚𐘦𐘃 𐙚 𐘀𐘙 𐙚 𐙂𐘁 𐙚,"26,38,3,90,0,25,90,66,1,90",6,10
HT 44,Hagia Triada,-1500,clay,SU-PU2-WA GRA 30 JA-RE GRA 10 KU-RO GRA 40,SU-PU2-WA|GRA|JA-RE|GRA|KU-RO|GRA,𐘲𐙄𐘮 𐙕 𐘧𐘙 𐙕 𐙂𐘁 𐙕,"50,68,46,85,39,25,85,66,1,85",6,10
HT 85,Hagia Triada,-1500,clay,PA-TA-NE BOS 5 WI-NA-DU BOS 3 KU-RO BOS 8,PA-TA-NE|BOS|WI-NA-DU|BOS|KU-RO|BOS,𐘂𐘳𐘗 𐙠 𐘣𐘅𐘬 𐙠 𐙂𐘁 𐙠,"2,51,23,96,35,5,44,96,66,1,96",6,11
HT 100,Hagia Triada,-1500,clay,A-DU OVS 10 DA-QE-RA OVS 8 KU-PA3-NU OVS 6 KU-RO OVS 24,A-DU|OVS|DA-QE-RA|OVS|KU-PA3-NU|OVS|KU-RO|OVS,𐘀𐘬 𐙝 𐘦𐘿𐘴 𐙝 𐙂𐘰𐘟 𐙝 𐙂𐘁 𐙝,"0,44,93,38,63,52,93,66,48,31,93,66,1,93",8,14
HT 117,Hagia Triada,-1500,clay,A-SA-SA-RA-ME A-TA-RE U-NA-KA QA-QA-RU KU-RO,A-SA-SA-RA-ME|A-TA-RE|U-NA-KA|QA-QA-RU|KU-RO,𐘀𐘞𐘞𐘴𐘋 𐘀𐘳𐘙 𐘉𐘅𐘾 𐘌𐘌𐘘 𐙂𐘁,"0,30,30,52,11,0,51,25,9,5,62,12,12,24,66,1",5,16
HT 122,Hagia Triada,-1500,clay,PA-I-TO GRA 8 A-RE-NU-WA GRA 3 KU-RO GRA 11,PA-I-TO|GRA|A-RE-NU-WA|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘀𐘙𐘟𐘮 𐙕 𐙂𐘁 𐙕,"2,26,4,85,0,25,31,46,85,66,1,85",6,12
HT 140,Hagia Triada,-1500,clay,KI-RO VIN 6 TE-KI VIN 14 KU-RO VIN 20,KI-RO|VIN|TE-KI|VIN|KU-RO|VIN,𐘸𐘁 𐙗 𐘃𐘸 𐙗 𐙂𐘁 𐙗,"56,1,87,3,56,87,66,1,87",6,9
HT 86,Hagia Triada,-1550,stone,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
HT 87,Hagia Triada,-1550,stone,A-TA-I-*301-WA-JA A-RE-NE-SI,A-TA-I-*301-WA-JA|A-RE-NE-SI,𐘀𐘳𐘚𐙕𐘮𐘧 𐘀𐘙𐘗𐘜,"0,51,26,85,46,39,0,25,23,28",2,10
HT 88,Hagia Triada,-1550,stone,I-PI-NA-MI-NA A-SA-SA-RA-ME,I-PI-NA-MI-NA|A-SA-SA-RA-ME,𐘚𐘢𐘅𐘒𐘅 𐘀𐘞𐘞𐘴𐘋,"26,34,5,18,5,0,30,30,52,11",2,10
HT 89,Hagia Triada,-1550,stone,SU-PU2-WA A-SA-SA-RA-ME,SU-PU2-WA|A-SA-SA-RA-ME,𐘲𐙄𐘮 𐘀𐘞𐘞𐘴𐘋,"50,68,46,0,30,30,52,11",2,8
HT 90,Hagia Triada,-1550,stone,A-KA-RU A-SA-SA-RA-ME,A-KA-RU|A-SA-SA-RA-ME,𐘀𐘾𐘘 𐘀𐘞𐘞𐘴𐘋,"0,62,24,0,30,30,52,11",2,8
HT 91,Hagia Triada,-1550,stone,SI-RU-TE A-SA-SA-RA-ME,SI-RU-TE|A-SA-SA-RA-ME,𐘜𐘘𐘃 𐘀𐘞𐘞𐘴𐘋,"28,24,3,0,30,30,52,11",2,8
HT 92,Hagia Triada,-1550,stone,U-NA-RU-KA-NA-SI A-SA-SA-RA-ME,U-NA-RU-KA-NA-SI|A-SA-SA-RA-ME,𐘉𐘅𐘘𐘾𐘅𐘜 𐘀𐘞𐘞𐘴𐘋,"9,5,24,62,5,28,0,30,30,52,11",2,11
HT 93,Hagia Triada,-1550,stone,A-TA-I-*301-WA-JA I-PI-NA-MI-NA,A-TA-I-*301-WA-JA|I-PI-NA-MI-NA,𐘀𐘳𐘚𐙕𐘮𐘧 𐘚𐘢𐘅𐘒𐘅,"0,51,26,85,46,39,26,34,5,18,5",2,11
HT 94,Hagia Triada,-1550,stone,I-DA-MA-TE SU-PU2-WA,I-DA-MA-TE|SU-PU2-WA,𐘚𐘦𐙁𐘃 𐘲𐙄𐘮,"26,38,65,3,50,68,46",2,7
HT 95,Hagia Triada,-1550,stone,A-SA-SA-RA-ME A-RE-NE-SI I-DA-MA-TE,A-SA-SA-RA-ME|A-RE-NE-SI|I-DA-MA-TE,𐘀𐘞𐘞𐘴𐘋 𐘀𐘙𐘗𐘜 𐘚𐘦𐙁𐘃,"0,30,30,52,11,0,25,23,28,26,38,65,3",3,13
ZA 1,Zakros,-1475,clay,A-DU GRA 30 TE-KI GRA 10 KU-RO GRA 40,A-DU|GRA|TE-KI|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘃𐘸 𐙕 𐙂𐘁 𐙕,"0,44,85,3,56,85,66,1,85",6,9
ZA 4,Zakros,-1475,clay,DA-QE-RA VIN 20 KI-RO VIN 4 KU-RO VIN 16,DA-QE-RA|VIN|KI-RO|VIN|KU-RO|VIN,𐘦𐘿𐘴 𐙗 𐘸𐘁 𐙗 𐙂𐘁 𐙗,"38,63,52,87,56,1,87,66,1,87",6,10
ZA 10,Zakros,-1475,clay,PA-I-TO OLE 15 A-RE OLE 5 KU-RO OLE 20,PA-I-TO|OLE|A-RE|OLE|KU-RO|OLE,𐘂𐘚𐘄 𐙚 𐘀𐘙 𐙚 𐙂𐘁 𐙚,"2,26,4,90,0,25,90,66,1,90",6,10
ZA 15,Zakros,-1475,stone,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
ZA 28,Zakros,-1475,stone,A-TA-I-*301-WA-JA I-DA-MA-TE,A-TA-I-*301-WA-JA|I-DA-MA-TE,𐘀𐘳𐘚𐙕𐘮𐘧 𐘚𐘦𐙁𐘃,"0,51,26,85,46,39,26,38,65,3",2,10
KH 1,Khania,-1450,clay,DA-QE-RA GRA 20 A-DU GRA 5 KU-RO GRA 25,DA-QE-RA|GRA|A-DU|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,44,85,66,1,85",6,10
KH 4,Khania,-1450,clay,KU-PA3-NU OVS 15 KI-RO OVS 3 KU-RO OVS 12,KU-PA3-NU|OVS|KI-RO|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘸𐘁 𐙝 𐙂𐘁 𐙝,"66,48,31,93,56,1,93,66,1,93",6,10
KH 5,Khania,-1450,clay,A-DU VIN 8 SI-DA-TE VIN 4 KU-RO VIN 12,A-DU|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘀𐘬 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"0,44,87,28,38,3,87,66,1,87",6,10
KH 11,Khania,-1450,clay,TE-KI GRA 30 KI-RO GRA 6 KU-RO GRA 24,TE-KI|GRA|KI-RO|GRA|KU-RO|GRA,𐘃𐘸 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"3,56,85,56,1,85,66,1,85",6,9
PH 1,Phaistos,-1700,clay,GRA 50 VIN 10 OLE 5 KU-RO,GRA|VIN|OLE|KU-RO,𐙕 𐙗 𐙚 𐙂𐘁,"85,87,90,66,1",4,5
PH 7,Phaistos,-1700,stone,A-TA-I-*301-WA-JA A-RE-NE-SI I-DA-MA-TE,A-TA-I-*301-WA-JA|A-RE-NE-SI|I-DA-MA-TE,𐘀𐘳𐘚𐙕𐘮𐘧 𐘀𐘙𐘗𐘜 𐘚𐘦𐙁𐘃,"0,51,26,85,46,39,0,25,23,28,26,38,65,3",3,14
AR 1,Arkhanes,-1600,clay,A-DU GRA 5 KI-RO GRA 1 KU-RO GRA 4,A-DU|GRA|KI-RO|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"0,44,85,56,1,85,66,1,85",6,9
AR 4,Arkhanes,-1600,stone,A-SA-SA-RA-ME I-DA-MA-TE,A-SA-SA-RA-ME|I-DA-MA-TE,𐘀𐘞𐘞𐘴𐘋 𐘚𐘦𐙁𐘃,"0,30,30,52,11,26,38,65,3",2,9
KN 1,Knossos,-1500,clay,PA-I-TO GRA 10 A-RE GRA 5 KU-RO GRA 15,PA-I-TO|GRA|A-RE|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"2,26,4,85,0,25,85,66,1,85",6,10
KN 5,Knossos,-1500,clay,KU-PA3-NU OVS 20 KI-RO OVS 5 KU-RO OVS 15,KU-PA3-NU|OVS|KI-RO|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘸𐘁 𐙝 𐙂𐘁 𐙝,"66,48,31,93,56,1,93,66,1,93",6,10
MA 1,Mallia,-1650,clay,DA-QE-RA VIN 30 A-DU VIN 10 KU-RO VIN 40,DA-QE-RA|VIN|A-DU|VIN|KU-RO|VIN,𐘦𐘿𐘴 𐙗 𐘀𐘬 𐙗 𐙂𐘁 𐙗,"38,63,52,87,0,44,87,66,1,87",6,10
MA 4,Mallia,-1650,clay,A-MI-DA-O GRA 15 KI-RO GRA 3 KU-RO GRA 12,A-MI-DA-O|GRA|KI-RO|GRA|KU-RO|GRA,𐘀𐘒𐘦𐘵 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"0,18,38,53,85,56,1,85,66,1,85",6,11
TY 1,Tylissos,-1500,clay,I-DA-TE OLE 10 PA3-TE OLE 5 KU-RO OLE 15,I-DA-TE|OLE|PA3-TE|OLE|KU-RO|OLE,𐘚𐘦𐘃 𐙚 𐘰𐘃 𐙚 𐙂𐘁 𐙚,"26,38,3,90,48,3,90,66,1,90",6,10
TY 3,Tylissos,-1500,clay,A-RE OVS 12 A-DU OVS 8 KU-RO OVS 20,A-RE|OVS|A-DU|OVS|KU-RO|OVS,𐘀𐘙 𐙝 𐘀𐘬 𐙝 𐙂𐘁 𐙝,"0,25,93,0,44,93,66,1,93",6,9
PK 1,Palaikastro,-1500,clay,GRA 20 VIN 5 OLE 3 KU-RO,GRA|VIN|OLE|KU-RO,𐙕 𐙗 𐙚 𐙂𐘁,"85,87,90,66,1",4,5
PK 2,Palaikastro,-1500,clay,DA-QE-RA GRA 15 A-DU GRA 5 KU-RO GRA 20,DA-QE-RA|GRA|A-DU|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,44,85,66,1,85",6,10
PK 3,Palaikastro,-1500,clay,PA-I-TO VIN 8 SI-DA-TE VIN 7 KU-RO VIN 15,PA-I-TO|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘂𐘚𐘄 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"2,26,4,87,28,38,3,87,66,1,87",6,11
PK 4,Palaikastro,-1500,clay,A-RE OLE 6 KU-PA3-NU OLE 4 KU-RO OLE 10,A-RE|OLE|KU-PA3-NU|OLE|KU-RO|OLE,𐘀𐘙 𐙚 𐙂𐘰𐘟 𐙚 𐙂𐘁 𐙚,"0,25,90,66,48,31,90,66,1,90",6,10
PK 5,Palaikastro,-1500,stone,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
HT 3,Hagia Triada,-1500,clay,TE-RE-ZA GRA 12 I-NI-JA GRA 8 KU-RO GRA 20,TE-RE-ZA|GRA|I-NI-JA|GRA|KU-RO|GRA,𐘃𐘙𐘍 𐙕 𐘚𐘝𐘧 𐙕 𐙂𐘁 𐙕,"3,25,13,85,26,29,39,85,66,1,85",6,11
HT 4,Hagia Triada,-1500,clay,DA-TE-WA OVS 15 A-KI-RO OVS 10 KU-RO OVS 25,DA-TE-WA|OVS|A-KI-RO|OVS|KU-RO|OVS,𐘦𐘃𐘮 𐙝 𐘀𐘸𐘁 𐙝 𐙂𐘁 𐙝,"38,3,46,93,0,56,1,93,66,1,93",6,11
HT 5,Hagia Triada,-1500,clay,A-SA GRA 6 TU-RU GRA 4 KU-RO GRA 10,A-SA|GRA|TU-RU|GRA|KU-RO|GRA,𐘀𐘞 𐙕 𐘹𐘘 𐙕 𐙂𐘁 𐙕,"0,30,85,57,24,85,66,1,85",6,9
HT 7,Hagia Triada,-1500,clay,I-QE-PA VIN 18 DA-WA-NE VIN 7 KU-RO VIN 25,I-QE-PA|VIN|DA-WA-NE|VIN|KU-RO|VIN,𐘚𐘿𐘂 𐙗 𐘦𐘮𐘗 𐙗 𐙂𐘁 𐙗,"26,63,2,87,38,46,23,87,66,1,87",6,11
HT 9,Hagia Triada,-1500,clay,PA3-KA-NA GRA 30 A-RE GRA 5 KU-RO GRA 35,PA3-KA-NA|GRA|A-RE|GRA|KU-RO|GRA,𐘰𐘾𐘅 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"48,62,5,85,0,25,85,66,1,85",6,10
HT 15,Hagia Triada,-1500,clay,NI-TE-RA OLE 10 TA-NA-TI OLE 6 KU-RO OLE 16,NI-TE-RA|OLE|TA-NA-TI|OLE|KU-RO|OLE,𐘝𐘃𐘴 𐙚 𐘳𐘅𐘠 𐙚 𐙂𐘁 𐙚,"29,3,52,90,51,5,32,90,66,1,90",6,11
HT 16,Hagia Triada,-1500,clay,WA-RA-KE GRA 9 I-NA-JA GRA 6 KU-RO GRA 15,WA-RA-KE|GRA|I-NA-JA|GRA|KU-RO|GRA,𐘮𐘴𐘥 𐙕 𐘚𐘅𐘧 𐙕 𐙂𐘁 𐙕,"46,52,37,85,26,5,39,85,66,1,85",6,11
HT 18,Hagia Triada,-1500,clay,RO-JA OVS 25 WA-TU OVS 10 KU-RO OVS 35,RO-JA|OVS|WA-TU|OVS|KU-RO|OVS,𐘁𐘧 𐙝 𐘮𐘹 𐙝 𐙂𐘁 𐙝,"1,39,93,46,57,93,66,1,93",6,9
HT 19,Hagia Triada,-1500,clay,PI-TA-JA GRA 14 KI-DA-TE GRA 6 KU-RO GRA 20,PI-TA-JA|GRA|KI-DA-TE|GRA|KU-RO|GRA,𐘢𐘳𐘧 𐙕 𐘸𐘦𐘃 𐙕 𐙂𐘁 𐙕,"34,51,39,85,56,38,3,85,66,1,85",6,11
HT 20,Hagia Triada,-1500,clay,QE-QA-DA VIN 12 DA-TE-WA VIN 8 KU-RO VIN 20,QE-QA-DA|VIN|DA-TE-WA|VIN|KU-RO|VIN,𐘿𐘌𐘦 𐙗 𐘦𐘃𐘮 𐙗 𐙂𐘁 𐙗,"63,12,38,87,38,3,46,87,66,1,87",6,11
HT 21,Hagia Triada,-1500,clay,A-NA GRA 16 I-NA-I GRA 9 KU-RO GRA 25,A-NA|GRA|I-NA-I|GRA|KU-RO|GRA,𐘀𐘅 𐙕 𐘚𐘅𐘚 𐙕 𐙂𐘁 𐙕,"0,5,85,26,5,26,85,66,1,85",6,10
HT 22,Hagia Triada,-1500,clay,TI-RI-SI OVS 8 PE-QA OVS 7 KU-RO OVS 15,TI-RI-SI|OVS|PE-QA|OVS|KU-RO|OVS,𐘠𐘭𐘜 𐙝 ?𐘌 𐙝 𐙂𐘁 𐙝,"32,45,28,93,12,93,66,1,93",6,9
HT 23,Hagia Triada,-1500,clay,A-TU GRA 11 NA-RU GRA 9 KU-RO GRA 20,A-TU|GRA|NA-RU|GRA|KU-RO|GRA,𐘀𐘹 𐙕 𐘅𐘘 𐙕 𐙂𐘁 𐙕,"0,57,85,5,24,85,66,1,85",6,9
HT 24,Hagia Triada,-1500,clay,SA-RU OLE 7 I-RE OLE 8 KU-RO OLE 15,SA-RU|OLE|I-RE|OLE|KU-RO|OLE,𐘞𐘘 𐙚 𐘚𐘙 𐙚 𐙂𐘁 𐙚,"30,24,90,26,25,90,66,1,90",6,9
HT 25,Hagia Triada,-1500,clay,DI-NA-U GRA 20 TE-KI-NA GRA 5 KU-RO GRA 25,DI-NA-U|GRA|TE-KI-NA|GRA|KU-RO|GRA,𐘆𐘅𐘉 𐙕 𐘃𐘸𐘅 𐙕 𐙂𐘁 𐙕,"6,5,9,85,3,56,5,85,66,1,85",6,11
HT 26,Hagia Triada,-1500,clay,QE-RA-SA OVS 12 A-RA-NA-RE OVS 3 KU-RO OVS 15,QE-RA-SA|OVS|A-RA-NA-RE|OVS|KU-RO|OVS,𐘿𐘴𐘞 𐙝 𐘀𐘴𐘅𐘙 𐙝 𐙂𐘁 𐙝,"63,52,30,93,0,52,5,25,93,66,1,93",6,12
HT 27,Hagia Triada,-1500,clay,PA-TA GRA 18 KU-PA GRA 7 KU-RO GRA 25,PA-TA|GRA|KU-PA|GRA|KU-RO|GRA,𐘂𐘳 𐙕 𐙂𐘂 𐙕 𐙂𐘁 𐙕,"2,51,85,66,2,85,66,1,85",6,9
HT 29,Hagia Triada,-1500,clay,NI-RO VIN 10 PI-NU VIN 5 KU-RO VIN 15,NI-RO|VIN|PI-NU|VIN|KU-RO|VIN,𐘝𐘁 𐙗 𐘢𐘟 𐙗 𐙂𐘁 𐙗,"29,1,87,34,31,87,66,1,87",6,9
HT 30,Hagia Triada,-1500,clay,SA-TA GRA 22 I-TU GRA 3 KU-RO GRA 25,SA-TA|GRA|I-TU|GRA|KU-RO|GRA,𐘞𐘳 𐙕 𐘚𐘹 𐙕 𐙂𐘁 𐙕,"30,51,85,26,57,85,66,1,85",6,9
HT 32,Hagia Triada,-1500,clay,ME-RU OVS 16 DA-RA-MA-TU OVS 4 KU-RO OVS 20,ME-RU|OVS|DA-RA-MA-TU|OVS|KU-RO|OVS,𐘋𐘘 𐙝 𐘦𐘴𐙁𐘹 𐙝 𐙂𐘁 𐙝,"11,24,93,38,52,65,57,93,66,1,93",6,11
HT 33,Hagia Triada,-1500,clay,TE-RE-ZA GRA 8 DA-TE-WA GRA 7 KU-RO GRA 15,TE-RE-ZA|GRA|DA-TE-WA|GRA|KU-RO|GRA,𐘃𐘙𐘍 𐙕 𐘦𐘃𐘮 𐙕 𐙂𐘁 𐙕,"3,25,13,85,38,3,46,85,66,1,85",6,11
HT 34,Hagia Triada,-1500,clay,WA-RA-KE OLE 12 I-NI-JA OLE 8 KU-RO OLE 20,WA-RA-KE|OLE|I-NI-JA|OLE|KU-RO|OLE,𐘮𐘴𐘥 𐙚 𐘚𐘝𐘧 𐙚 𐙂𐘁 𐙚,"46,52,37,90,26,29,39,90,66,1,90",6,11
HT 35,Hagia Triada,-1500,clay,A-KI-RO GRA 13 NI-TE-RA GRA 7 KU-RO GRA 20,A-KI-RO|GRA|NI-TE-RA|GRA|KU-RO|GRA,𐘀𐘸𐘁 𐙕 𐘝𐘃𐘴 𐙕 𐙂𐘁 𐙕,"0,56,1,85,29,3,52,85,66,1,85",6,11
HT 36,Hagia Triada,-1500,clay,KI-DA-TE OVS 30 PI-TA-JA OVS 10 KU-RO OVS 40,KI-DA-TE|OVS|PI-TA-JA|OVS|KU-RO|OVS,𐘸𐘦𐘃 𐙝 𐘢𐘳𐘧 𐙝 𐙂𐘁 𐙝,"56,38,3,93,34,51,39,93,66,1,93",6,11
HT 37,Hagia Triada,-1500,clay,QE-QA-DA VIN 8 RO-JA VIN 7 KU-RO VIN 15,QE-QA-DA|VIN|RO-JA|VIN|KU-RO|VIN,𐘿𐘌𐘦 𐙗 𐘁𐘧 𐙗 𐙂𐘁 𐙗,"63,12,38,87,1,39,87,66,1,87",6,10
HT 38,Hagia Triada,-1500,clay,WA-TU GRA 14 A-NA GRA 6 KU-RO GRA 20,WA-TU|GRA|A-NA|GRA|KU-RO|GRA,𐘮𐘹 𐙕 𐘀𐘅 𐙕 𐙂𐘁 𐙕,"46,57,85,0,5,85,66,1,85",6,9
HT 39,Hagia Triada,-1500,clay,I-NA-JA OVS 20 TA-NA-TI OVS 5 KU-RO OVS 25,I-NA-JA|OVS|TA-NA-TI|OVS|KU-RO|OVS,𐘚𐘅𐘧 𐙝 𐘳𐘅𐘠 𐙝 𐙂𐘁 𐙝,"26,5,39,93,51,5,32,93,66,1,93",6,11
HT 40,Hagia Triada,-1500,clay,TE-KI-NA GRA 9 DI-NA-U GRA 6 KU-RO GRA 15,TE-KI-NA|GRA|DI-NA-U|GRA|KU-RO|GRA,𐘃𐘸𐘅 𐙕 𐘆𐘅𐘉 𐙕 𐙂𐘁 𐙕,"3,56,5,85,6,5,9,85,66,1,85",6,11
HT 41,Hagia Triada,-1500,clay,QE-RA-SA OLE 8 SA-RU OLE 7 KU-RO OLE 15,QE-RA-SA|OLE|SA-RU|OLE|KU-RO|OLE,𐘿𐘴𐘞 𐙚 𐘞𐘘 𐙚 𐙂𐘁 𐙚,"63,52,30,90,30,24,90,66,1,90",6,10
HT 42,Hagia Triada,-1500,clay,PA-TA VIN 18 KU-PA VIN 7 KU-RO VIN 25,PA-TA|VIN|KU-PA|VIN|KU-RO|VIN,𐘂𐘳 𐙗 𐙂𐘂 𐙗 𐙂𐘁 𐙗,"2,51,87,66,2,87,66,1,87",6,9
HT 43,Hagia Triada,-1500,clay,NI-RO GRA 12 ME-RU GRA 8 KU-RO GRA 20,NI-RO|GRA|ME-RU|GRA|KU-RO|GRA,𐘝𐘁 𐙕 𐘋𐘘 𐙕 𐙂𐘁 𐙕,"29,1,85,11,24,85,66,1,85",6,9
HT 45,Hagia Triada,-1500,clay,A-SA OVS 14 TU-RU OVS 6 KU-RO OVS 20,A-SA|OVS|TU-RU|OVS|KU-RO|OVS,𐘀𐘞 𐙝 𐘹𐘘 𐙝 𐙂𐘁 𐙝,"0,30,93,57,24,93,66,1,93",6,9
HT 46,Hagia Triada,-1500,clay,I-QE-PA GRA 15 DA-WA-NE GRA 10 KU-RO GRA 25,I-QE-PA|GRA|DA-WA-NE|GRA|KU-RO|GRA,𐘚𐘿𐘂 𐙕 𐘦𐘮𐘗 𐙕 𐙂𐘁 𐙕,"26,63,2,85,38,46,23,85,66,1,85",6,11
HT 47,Hagia Triada,-1500,clay,PA3-KA-NA OVS 8 A-RE OVS 7 KU-RO OVS 15,PA3-KA-NA|OVS|A-RE|OVS|KU-RO|OVS,𐘰𐘾𐘅 𐙝 𐘀𐘙 𐙝 𐙂𐘁 𐙝,"48,62,5,93,0,25,93,66,1,93",6,10
HT 48,Hagia Triada,-1500,clay,SA-TA GRA 12 I-TU GRA 8 KU-RO GRA 20,SA-TA|GRA|I-TU|GRA|KU-RO|GRA,𐘞𐘳 𐙕 𐘚𐘹 𐙕 𐙂𐘁 𐙕,"30,51,85,26,57,85,66,1,85",6,9
HT 49,Hagia Triada,-1500,clay,DA-RA-MA-TU VIN 7 TI-RI-SI VIN 8 KU-RO VIN 15,DA-RA-MA-TU|VIN|TI-RI-SI|VIN|KU-RO|VIN,𐘦𐘴𐙁𐘹 𐙗 𐘠𐘭𐘜 𐙗 𐙂𐘁 𐙗,"38,52,65,57,87,32,45,28,87,66,1,87",6,12
HT 50,Hagia Triada,-1500,clay,PE-QA OVS 9 A-TU OVS 6 KU-RO OVS 15,PE-QA|OVS|A-TU|OVS|KU-RO|OVS,?𐘌 𐙝 𐘀𐘹 𐙝 𐙂𐘁 𐙝,"12,93,0,57,93,66,1,93",6,8
