tablet_id,site,date_est,date_uncertainty_yrs,material,source_strategy,qcs,is_synthetic,transliteration,sign_groups,sign_sequence_unicode,sign_sequence_ids,sign_group_count,sign_count
HT 25,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,DI-NA-U GRA 20 TE-KI-NA GRA 5 KU-RO GRA 25,DI-NA-U|GRA|TE-KI-NA|GRA|KU-RO|GRA,𐘆𐘅𐘉 𐙕 𐘃𐘸𐘅 𐙕 𐙂𐘁 𐙕,"6,5,9,85,3,56,5,85,66,1,85",6,11
HT 26,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,QE-RA-SA OVS 12 A-RA-NA-RE OVS 3 KU-RO OVS 15,QE-RA-SA|OVS|A-RA-NA-RE|OVS|KU-RO|OVS,𐘿𐘴𐘞 𐙝 𐘀𐘴𐘅𐘙 𐙝 𐙂𐘁 𐙝,"63,52,30,93,0,52,5,25,93,66,1,93",6,12
HT 27,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA-TA GRA 18 KU-PA GRA 7 KU-RO GRA 25,PA-TA|GRA|KU-PA|GRA|KU-RO|GRA,𐘂𐘳 𐙕 𐙂𐘂 𐙕 𐙂𐘁 𐙕,"2,51,85,66,2,85,66,1,85",6,9
HT 29,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,NI-RO VIN 10 PI-NU VIN 5 KU-RO VIN 15,NI-RO|VIN|PI-NU|VIN|KU-RO|VIN,𐘝𐘁 𐙗 𐘢𐘟 𐙗 𐙂𐘁 𐙗,"29,1,87,34,31,87,66,1,87",6,9
HT 30,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,SA-TA GRA 22 I-TU GRA 3 KU-RO GRA 25,SA-TA|GRA|I-TU|GRA|KU-RO|GRA,𐘞𐘳 𐙕 𐘚𐘹 𐙕 𐙂𐘁 𐙕,"30,51,85,26,57,85,66,1,85",6,9
HT 32,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,ME-RU OVS 16 DA-RA-MA-TU OVS 4 KU-RO OVS 20,ME-RU|OVS|DA-RA-MA-TU|OVS|KU-RO|OVS,𐘋𐘘 𐙝 𐘦𐘴𐙁𐘹 𐙝 𐙂𐘁 𐙝,"11,24,93,38,52,65,57,93,66,1,93",6,11
HT 33,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,TE-RE-ZA GRA 8 DA-TE-WA GRA 7 KU-RO GRA 15,TE-RE-ZA|GRA|DA-TE-WA|GRA|KU-RO|GRA,𐘃𐘙𐘍 𐙕 𐘦𐘃𐘮 𐙕 𐙂𐘁 𐙕,"3,25,13,85,38,3,46,85,66,1,85",6,11
HT 34,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,WA-RA-KE OLE 12 I-NI-JA OLE 8 KU-RO OLE 20,WA-RA-KE|OLE|I-NI-JA|OLE|KU-RO|OLE,𐘮𐘴𐘥 𐙚 𐘚𐘝𐘧 𐙚 𐙂𐘁 𐙚,"46,52,37,90,26,29,39,90,66,1,90",6,11
HT 35,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-KI-RO GRA 13 NI-TE-RA GRA 7 KU-RO GRA 20,A-KI-RO|GRA|NI-TE-RA|GRA|KU-RO|GRA,𐘀𐘸𐘁 𐙕 𐘝𐘃𐘴 𐙕 𐙂𐘁 𐙕,"0,56,1,85,29,3,52,85,66,1,85",6,11
HT 36,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,KI-DA-TE OVS 30 PI-TA-JA OVS 10 KU-RO OVS 40,KI-DA-TE|OVS|PI-TA-JA|OVS|KU-RO|OVS,𐘸𐘦𐘃 𐙝 𐘢𐘳𐘧 𐙝 𐙂𐘁 𐙝,"56,38,3,93,34,51,39,93,66,1,93",6,11
HT 37,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,QE-QA-DA VIN 8 RO-JA VIN 7 KU-RO VIN 15,QE-QA-DA|VIN|RO-JA|VIN|KU-RO|VIN,𐘿𐘌𐘦 𐙗 𐘁𐘧 𐙗 𐙂𐘁 𐙗,"63,12,38,87,1,39,87,66,1,87",6,10
HT 38,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,WA-TU GRA 14 A-NA GRA 6 KU-RO GRA 20,WA-TU|GRA|A-NA|GRA|KU-RO|GRA,𐘮𐘹 𐙕 𐘀𐘅 𐙕 𐙂𐘁 𐙕,"46,57,85,0,5,85,66,1,85",6,9
HT 39,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,I-NA-JA OVS 20 TA-NA-TI OVS 5 KU-RO OVS 25,I-NA-JA|OVS|TA-NA-TI|OVS|KU-RO|OVS,𐘚𐘅𐘧 𐙝 𐘳𐘅𐘠 𐙝 𐙂𐘁 𐙝,"26,5,39,93,51,5,32,93,66,1,93",6,11
HT 40,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,TE-KI-NA GRA 9 DI-NA-U GRA 6 KU-RO GRA 15,TE-KI-NA|GRA|DI-NA-U|GRA|KU-RO|GRA,𐘃𐘸𐘅 𐙕 𐘆𐘅𐘉 𐙕 𐙂𐘁 𐙕,"3,56,5,85,6,5,9,85,66,1,85",6,11
